target,n_authors,threshold,balanced_accuracy,f1,minority_precision,minority_recall,roc_auc,average_precision,raw_accuracy,positive_rate_pred,positive_rate_true,model_id,split,model_name
target_E,1562,0.4749999999999999,0.5595249439838537,0.3646237393328161,0.2458158995815899,0.7057057057057057,0.5602469841688719,0.2443822645149,0.4756722151088348,0.6120358514724712,0.2131882202304737,frozen_emotion_only,val,Emotion Only
target_S,1562,0.5349999999999999,0.5735073106118498,0.1637630662020905,0.1008583690987124,0.4351851851851852,0.5814419990829894,0.1010384681208187,0.6927016645326505,0.2983354673495518,0.0691421254801536,frozen_emotion_only,val,Emotion Only
target_T,1562,0.5049999999999999,0.6237309297393445,0.5778717406624383,0.5144291091593476,0.6591639871382636,0.6558921119244716,0.5208370864235559,0.6165172855313701,0.5102432778489117,0.3982074263764404,frozen_emotion_only,val,Emotion Only
target_J,1562,0.4899999999999999,0.5290248664780846,0.4755145493257629,0.4251269035532995,0.5394524959742351,0.5295493710223647,0.4156335790746455,0.5268886043533931,0.5044814340588989,0.3975672215108835,frozen_emotion_only,val,Emotion Only
target_E,1563,0.4749999999999999,0.5623748434782185,0.365950676213206,0.2491874322860238,0.688622754491018,0.5812890086385406,0.2623390067452245,0.4900831733845169,0.5905310300703774,0.2136916186820217,frozen_emotion_only,test,Emotion Only
target_S,1563,0.5349999999999999,0.5096805800509504,0.1161971830985915,0.0712742980561555,0.3142857142857143,0.5014893200078385,0.0764412493633753,0.6788227767114523,0.2962252079334613,0.0671785028790787,frozen_emotion_only,test,Emotion Only
target_T,1563,0.5049999999999999,0.6385529811173677,0.5913290689410092,0.5292620865139949,0.6698872785829307,0.6764960289376424,0.5605518636733753,0.6321177223288548,0.5028790786948176,0.3973128598848368,frozen_emotion_only,test,Emotion Only
target_J,1563,0.4899999999999999,0.5499579474240233,0.5034770514603616,0.4430844553243574,0.5829307568438004,0.5690363122284104,0.4487271250882686,0.5431861804222649,0.5227127319257837,0.3973128598848368,frozen_emotion_only,test,Emotion Only
target_E,1562,0.5349999999999999,0.6264730963673193,0.4151838671411625,0.3431372549019608,0.5255255255255256,0.6696403482408364,0.3697189210166757,0.6843790012804097,0.3265044814340589,0.2131882202304737,frozen_text_controls,val,Frozen Text + Controls
target_S,1562,0.235,0.626738499159407,0.1902017291066282,0.1126279863481228,0.6111111111111112,0.6267321310306179,0.1096104215700418,0.6402048655569782,0.3751600512163892,0.0691421254801536,frozen_text_controls,val,Frozen Text + Controls
target_T,1562,0.3949999999999999,0.7098720667715673,0.6730245231607629,0.5839243498817966,0.7942122186495176,0.7708917698570158,0.6822012223544688,0.6927016645326505,0.5416133162612036,0.3982074263764404,frozen_text_controls,val,Frozen Text + Controls
target_J,1562,0.4849999999999999,0.5972489608307194,0.5364041604754829,0.4979310344827586,0.5813204508856683,0.6267615395277919,0.5257972241439458,0.6005121638924455,0.4641485275288092,0.3975672215108835,frozen_text_controls,val,Frozen Text + Controls
target_E,1563,0.5349999999999999,0.650566645391073,0.4457687723480333,0.3702970297029703,0.5598802395209581,0.7008326715162028,0.3904935756002546,0.7024952015355086,0.3230966090850927,0.2136916186820217,frozen_text_controls,test,Frozen Text + Controls
