split,target,n_authors,positive_share,positive_count,negative_count
test,target_E,1563,0.2136916186820217,334,1229
test,target_S,1563,0.0671785028790787,105,1458
test,target_T,1563,0.3973128598848368,621,942
test,target_J,1563,0.3973128598848368,621,942
train,target_E,7289,0.2134723556043353,1556,5733
train,target_S,7289,0.0683221292358348,498,6791
train,target_T,7289,0.3975854026615448,2898,4391
train,target_J,7289,0.3970366305391686,2894,4395
val,target_E,1562,0.2131882202304737,333,1229
val,target_S,1562,0.0691421254801536,108,1454
val,target_T,1562,0.3982074263764404,622,940
val,target_J,1562,0.3975672215108835,621,941
