model_id,model_name,balanced_accuracy,f1,minority_recall,roc_auc,average_precision,post_budget
set_attention_text_real_emotion_p200,Set Attention Text + Real Emotion p=200,0.6864752869525307,0.5063813868296183,0.6661469331867665,0.7515238024694278,0.5172988858532828,200.0
set_attention_text_p200,Set Attention Text p=200,0.6778135709258596,0.4989347264026234,0.6220967657507621,0.743255141000719,0.4950186757993497,200.0
set_attention_text_shuffled_emotion_p200,Set Attention Text + Shuffled Emotion p=200,0.6751782844693619,0.5003472248320059,0.6845712302103867,0.74079826883399,0.49832719090365285,200.0
set_attention_text_shuffled_emotion_p50,Set Attention Text + Shuffled Emotion p=50,0.64241323083958,0.45589988810354076,0.6569207685388367,0.7024267482945433,0.4508913726932283,50.0
set_attention_text_p50,Set Attention Text p=50,0.6356947721397586,0.4518617103934022,0.674801501207385,0.695661842170806,0.450001746132164,50.0
set_attention_text_real_emotion_controls_p200,Set Attention Text + Real Emotion + Controls p=200,0.6322851588861262,0.4357917153191583,0.6643683991575166,0.6829499511093023,0.4219225788629809,200.0
set_attention_text_controls_p200,Set Attention Text + Controls p=200,0.6290073497805103,0.4355440528538572,0.5634140277071805,0.6875125857193033,0.42395200596266336,200.0
set_attention_text_real_emotion_p50,Set Attention Text + Real Emotion p=50,0.6200505550998304,0.42692428815209726,0.5118633333746585,0.6941034740968929,0.44613179220330484,50.0
set_attention_text_real_emotion_controls_p50,Set Attention Text + Real Emotion + Controls p=50,0.6100021461269991,0.431466891227941,0.5892842334654362,0.6515186232666506,0.3953367274826528,50.0
set_attention_text_controls_p50,Set Attention Text + Controls p=50,0.6068641201331062,0.4330793730043242,0.6000790689153095,0.6507854656990499,0.3928284144965408,50.0
mean_pool_mlp_text,Mean Pool MLP,0.6039006813946545,0.42217595062441327,0.4615180267484355,0.6723569218896587,0.41865360718891553,
mean_std_pool_mlp_text,Mean+Std Pool MLP,0.601378431078919,0.4112551561830589,0.4298904606246444,0.6695994746024578,0.4111282400846203,
