comparison,metric,target,point_estimate,ci_lower,ci_upper,n_bootstrap,n_authors
Frozen transformer: real emotion minus text,balanced_accuracy,target_E,-0.004779700160297828,-0.024112568035700808,0.014433237596231632,2000,1563
Frozen transformer: real emotion minus text,balanced_accuracy,target_S,-0.017597491671565768,-0.04260936917791847,0.0044646932738861885,2000,1563
Frozen transformer: real emotion minus text,balanced_accuracy,target_T,0.003441131521995544,-0.0056839565008849425,0.011822941775525116,2000,1563
Frozen transformer: real emotion minus text,balanced_accuracy,target_J,-0.005192467460537253,-0.021492352525607723,0.01162075284689374,2000,1563
Frozen transformer: real emotion minus text,balanced_accuracy,mean,-0.0060321319426013265,-0.015463254167492661,0.002885924285831076,2000,1563
Frozen transformer: shuffled emotion minus text,balanced_accuracy,target_E,-0.011940723922374996,-0.029405479617816137,0.0036895738081732608,2000,1563
Frozen transformer: shuffled emotion minus text,balanced_accuracy,target_S,-0.005712326082696562,-0.036988251874429966,0.024845128485093487,2000,1563
Frozen transformer: shuffled emotion minus text,balanced_accuracy,target_T,0.010282367662594716,0.0009653175631518824,0.019174358979572974,2000,1563
Frozen transformer: shuffled emotion minus text,balanced_accuracy,target_J,-8.718216970782233e-05,-0.01759605745710291,0.016224338961645268,2000,1563
Frozen transformer: shuffled emotion minus text,balanced_accuracy,mean,-0.001864466128046166,-0.011989883261818024,0.008057829575019174,2000,1563
Set attention p=50: real emotion minus text,balanced_accuracy,target_E,0.006213366594719383,-0.015609151172580406,0.02811605485419545,2000,1563
Set attention p=50: real emotion minus text,balanced_accuracy,target_S,-0.04908877131099354,-0.08515270949601221,-0.013582122785393913,2000,1563
Set attention p=50: real emotion minus text,balanced_accuracy,target_T,-0.002582130732227683,-0.014910863175088648,0.01024276991269408,2000,1563
Set attention p=50: real emotion minus text,balanced_accuracy,target_J,0.008425900284111276,-0.01123977330426284,0.027195198297511058,2000,1563
Set attention p=50: real emotion minus text,balanced_accuracy,mean,-0.009257908791097641,-0.021107816088785755,0.002607329803130795,2000,1563
Set attention p=50: shuffled emotion minus text,balanced_accuracy,target_E,0.013074745545524125,-0.010792852231275714,0.03670125323105474,2000,1563
Set attention p=50: shuffled emotion minus text,balanced_accuracy,target_S,-0.02844405251812654,-0.07508306401774373,0.019664725217677384,2000,1563
Set attention p=50: shuffled emotion minus text,balanced_accuracy,target_T,0.003769346749130764,-0.009501918624507236,0.017467186556373186,2000,1563
Set attention p=50: shuffled emotion minus text,balanced_accuracy,target_J,0.018156968932377393,-0.0019324097369732506,0.039455953350295475,2000,1563
Set attention p=50: shuffled emotion minus text,balanced_accuracy,mean,0.0016392521772264357,-0.013121321566551733,0.015730188434422216,2000,1563
Set attention p=200: real emotion minus text,balanced_accuracy,target_E,-0.01530990094668283,-0.03355442389891296,0.0027373854917985756,2000,1563
Set attention p=200: real emotion minus text,balanced_accuracy,target_S,-0.00558495002939452,-0.04338450470714274,0.02907365425229196,2000,1563
Set attention p=200: real emotion minus text,balanced_accuracy,target_T,-0.0090413038349898,-0.02074827602713567,0.0022903988498533916,2000,1563
Set attention p=200: real emotion minus text,balanced_accuracy,target_J,0.0024616142035138733,-0.015852714207374496,0.018917398593685707,2000,1563
Set attention p=200: real emotion minus text,balanced_accuracy,mean,-0.006868635151888319,-0.019128878097069528,0.00410002458243678,2000,1563
Set attention p=200: shuffled emotion minus text,balanced_accuracy,target_E,-0.007319372646082956,-0.02677760888672195,0.010766061371959033,2000,1563
Set attention p=200: shuffled emotion minus text,balanced_accuracy,target_S,-0.011747991377621059,-0.055065820236678845,0.03057293511666962,2000,1563
Set attention p=200: shuffled emotion minus text,balanced_accuracy,target_T,-0.0048668164148639725,-0.01634258428879816,0.006141267228652714,2000,1563
Set attention p=200: shuffled emotion minus text,balanced_accuracy,target_J,-0.003059068484158489,-0.01855716103103098,0.012577296953618651,2000,1563
Set attention p=200: shuffled emotion minus text,balanced_accuracy,mean,-0.006748312230681619,-0.020012305615886503,0.005237261968095088,2000,1563
